Scan performed on 11-28-2016 08:36:27
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/A65C25BDA3C68198A6FBD1013F78DD583F88CF14 was changed!!
WARNING: /home/datboi/.local/share/zeitgeist/fts.index/termlist.DB was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/29B08ECF46969CAE37BA0BC477E63E392C6B37F9 was changed!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/cookies.sqlite was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/77117C5F897AFB0181B6B23C5DD7E9CE2DB94953 was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/314D82118165524B60D636248D28ABDD4ADC3600 was changed!!
WARNING: /home/datboi/.local/share/zeitgeist/fts.index/record.baseB was changed!!
WARNING: /home/datboi/.local/share/zeitgeist/fts.index/record.DB was changed!!
WARNING: /home/datboi/.local/share/zeitgeist/fts.index/position.baseB was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/safebrowsing/goog-phish-shavar.pset was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/98F3CC667C872833F2A93C841A531CD308BB708E was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/safebrowsing/goog-malware-shavar.pset was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/996FF69B28B46AA08240D5B033726E178EA73F53 was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/DAF868190224EDB572853032B70DCEA519420A66 was changed!!
WARNING: /home/datboi/.mozilla/firefox/m5ov45ka.default/datareporting/session-state.json was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/6C9B846926C287B15F67D64CE91F1CFA7D812660 was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/0F1CE39FDC5283841A52C24635E2B98618CFCF02 was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/8790063156A34EB2C9E32B154BF2B54C76C75CB0 was changed!!
WARNING: /home/datboi/.cache/mozilla/firefox/m5ov45ka.default/cache2/entries/E267E1F6C851B385439DFDBB63F764F2D930607F was changed!!
